,timestamp,ID,Language,ToneDeaf,Stimulus,Congruent,Correct,ReactionTime
0,2021_Oct_26_0824,Laurits,Danish,No,size,0,1,0.5711980999913067
1,2021_Oct_26_0824,Laurits,Danish,No,thickness,0,1,1.4676844999776222
2,2021_Oct_26_0824,Laurits,Danish,No,size,0,1,3.194292200001655
3,2021_Oct_26_0824,Laurits,Danish,No,thickness,1,1,1.6423160000122152
4,2021_Oct_26_0824,Laurits,Danish,No,thickness,1,1,0.33428680000361055
5,2021_Oct_26_0824,Laurits,Danish,No,thickness,0,1,2.8609110999968834
6,2021_Oct_26_0824,Laurits,Danish,No,size,1,1,3.372051999991527
7,2021_Oct_26_0824,Laurits,Danish,No,thickness,1,1,0.28579939997871406
8,2021_Oct_26_0824,Laurits,Danish,No,size,0,1,2.8038633999822196
9,2021_Oct_26_0824,Laurits,Danish,No,thickness,1,1,0.5787420000124257
10,2021_Oct_26_0824,Laurits,Danish,No,thickness,1,1,0.826982800004771
11,2021_Oct_26_0824,Laurits,Danish,No,thickness,1,1,0.4686925000278279
12,2021_Oct_26_0824,Laurits,Danish,No,height,1,1,1.2020426000235602
13,2021_Oct_26_0824,Laurits,Danish,No,thickness,0,1,2.7651239999977406
14,2021_Oct_26_0824,Laurits,Danish,No,height,0,0,2.8752254999999423
15,2021_Oct_26_0824,Laurits,Danish,No,height,1,1,0.43786330000148155
16,2021_Oct_26_0824,Laurits,Danish,No,height,0,1,0.640818699990632
17,2021_Oct_26_0824,Laurits,Danish,No,size,0,1,1.5287992999947164
18,2021_Oct_26_0824,Laurits,Danish,No,size,1,1,0.5090660000278149
19,2021_Oct_26_0824,Laurits,Danish,No,size,1,1,0.3565237000002526
20,2021_Oct_26_0824,Laurits,Danish,No,size,0,1,0.47345590000622906
21,2021_Oct_26_0824,Laurits,Danish,No,thickness,1,1,2.004210199986119
22,2021_Oct_26_0824,Laurits,Danish,No,size,0,1,1.8793830999929924
23,2021_Oct_26_0824,Laurits,Danish,No,size,1,1,0.3558623999997508
24,2021_Oct_26_0824,Laurits,Danish,No,thickness,0,1,3.0729378999967594
25,2021_Oct_26_0824,Laurits,Danish,No,height,1,1,1.4748070999921765
26,2021_Oct_26_0824,Laurits,Danish,No,height,1,1,0.5774510000192095
27,2021_Oct_26_0824,Laurits,Danish,No,size,1,1,0.9405941000150051
28,2021_Oct_26_0824,Laurits,Danish,No,height,1,1,2.9480399999883957
29,2021_Oct_26_0824,Laurits,Danish,No,size,1,1,3.031070800003363
30,2021_Oct_26_0824,Laurits,Danish,No,height,0,1,1.44184580000001
31,2021_Oct_26_0824,Laurits,Danish,No,thickness,0,1,0.8535622000053991
32,2021_Oct_26_0824,Laurits,Danish,No,thickness,1,1,3.7183057999936864
33,2021_Oct_26_0824,Laurits,Danish,No,thickness,0,0,0.5673152000235859
34,2021_Oct_26_0824,Laurits,Danish,No,size,0,1,3.698581100004958
35,2021_Oct_26_0824,Laurits,Danish,No,height,0,1,2.0377960999903735
36,2021_Oct_26_0824,Laurits,Danish,No,thickness,1,0,1.0515608999994583
37,2021_Oct_26_0824,Laurits,Danish,No,size,1,1,3.6434627999842633
38,2021_Oct_26_0824,Laurits,Danish,No,height,1,1,1.7801396999857388
39,2021_Oct_26_0824,Laurits,Danish,No,height,0,1,0.8384848000132479
40,2021_Oct_26_0824,Laurits,Danish,No,size,0,1,1.845391800015932
41,2021_Oct_26_0824,Laurits,Danish,No,thickness,0,1,0.799333500006469
42,2021_Oct_26_0824,Laurits,Danish,No,height,0,1,2.2091605000023264
43,2021_Oct_26_0824,Laurits,Danish,No,size,1,1,2.9257759999891277
44,2021_Oct_26_0824,Laurits,Danish,No,height,1,1,0.634006899985252
45,2021_Oct_26_0824,Laurits,Danish,No,size,1,1,0.5299806999973953
46,2021_Oct_26_0824,Laurits,Danish,No,height,0,1,3.145278899988625
47,2021_Oct_26_0824,Laurits,Danish,No,height,1,1,2.337466500001028
48,2021_Oct_26_0824,Laurits,Danish,No,height,0,0,1.722237900015898
49,2021_Oct_26_0824,Laurits,Danish,No,height,1,0,0.8918959999864455
50,2021_Oct_26_0824,Laurits,Danish,No,thickness,0,1,1.5356198999797925
51,2021_Oct_26_0824,Laurits,Danish,No,thickness,0,1,5.303508300014073
52,2021_Oct_26_0824,Laurits,Danish,No,size,0,1,1.2004648000001907
53,2021_Oct_26_0824,Laurits,Danish,No,height,0,0,1.1499336000124458
