Timestamp,Your ID/alias,What do you think happened is video?,What do you think happened in this video?,What do you think happened in this video? ,What do you think happened in this video? ,What do you think happened in this video?,What do you think happened in this video?
11/16/2016 8:31:53,chachangy,"A mother and a child plays together. The child is a it worried about going outside, and the mother helps him. Then they play and dance outside too. ","A game, maybe. Or dead beings, being hurled around by the wind. Someone unconscious maybe, being hurled around, back and forth.  ",A mother and a child jumping together in the yard - playing. Jumping like rabbits. ,"Nothing. Random movement, no emotions. ","The big triangle, mother, put the little triangle, child, in the house. She is angry. The child seems scared. Then he manipulates the mother, by being nice to her, and she feels bad. They make up, and she goes to the corner with him. He then escapes from the house, and she runs after him, but can't see him. She is furious but also afraid. ","Nothing. Triangles moving, bumping into corners that changes their course. "
11/16/2016 8:32:09,Thea2.0,"An ""adult"" triangle was teaching the ""young"" triangle to get out of the box",The adult and young triangle were bouncing off the walls and disappeared,"The young triangle was imitating the adult triangle, got caught, and ran away",The two triangles are a screen-saver,"The young triangle got in trouble, got blocked in a room, seduced the adult triangle, and fled when given the chance, leaving the adult triangle alone","The triangles are in ""screen-saver"" mode again"
11/16/2016 8:33:15,9575231,"A big red triangle and a small black triangle dances in and out of an open square. The take turns in being in and out of the square, and in the end they dance together outside of it. ",A big red triangle and a little black triangle move around above and below an open square. They move from side to side repeatedly and in the end the move out of the picture.,"A big red triangle moves around in a square. It blinks. A little black triangle comes and follows it around, also blinking. Sometimes the triangles turn towards each other before going back to the pattern of moving. In the end the small black triangle vanishes from the square.",A big red triangle and a small black triangle floats around in a square. When they hit the side of the square they change direction depending on the angle. They never touch each other. In the end one of them vanishes from the square.,"A big red triangle and a small black triangle are outside an open square. The red triangle pushes the black triangle into the square and puts itself in the hole in the open square, so the black one cannot get out. The black one tries to get out. Then it gets the red one to come inside the square and then it is able to get out of the hole. It then vanishes from the picture. ",A big red triangle and a small black triange float around inside a square. In the middle there is also an open square. Whenever the triangles hit a side of a square they change direction depending on the angle. The triangles never touch.
11/16/2016 8:33:26,hashytag,"Two triangles are dancing inside a square. I consider the triangles to be two mice - a baby mouse and a mother mouse. The mother mouse clearly does not want the baby mouse inside the square. Maybe this is because the baby mouse has been a bad mouse? Never the less, the mother mouse eventually pushes the baby mouse out of the room. However, after finding out how lonely the baby mouse becomes, she pushes the baby mouse back into the square. Maybe she couldn't live with the shame of having pushed her baby mouse out from a square. ","Two triangles - or mice - are dancing a new dance. In this dance, the mice jumps from side to side. Every time the mother hits the side, she turns herself a bit clockwise. Every time the baby his the side, it turns itself a bit counterclockwise. This continues on and on. ","Two triangles - or mice - are playing a game. Or at least the baby mouse thinks that they are. He's following his mother mouse around, unaware of the fact that he's being a total douche. The mom does not like to play. When she finds out that the baby mouse is following her, she shouts and scolds at him. Poor baby mouse. ","This time, the baby mouse is once again following its mother around. It does not want to be alone. But it's slightly different this way. It's as if the two mice are just bouncing around endlessly, without ever crossing each others paths. And each time they hit one of the sides, they turn a little. ","Mother mouse is very disappointed in baby mouse, and therefore she locks it up. The baby mouse is completely incapable of escaping. Maybe he's been a very bad mouse. The baby mouse starts crying, and the mother comes to see it, but once she does that, she is tricked, and the baby mouse escapes the room. Bewildered, she follows after, only to be unable to find the baby mouse. ","The mouse do an alternative 'dancing around the christmas tree'. This consists of basically jumping around the living room, turning themselves around a bit each time they hit the wall. Great fun. "
11/16/2016 8:34:55,sfmsk,"The video was about two paper planes - a mother and a child. It seems they have a nice relationship where they dance together and the mother pays a lot of attention to the child. However, the mother also wants the child to leave the ""nest"" or the square around the paper planes. So the mother shows the child how to exit it and the child copies it nervously. However, outside the ""nest"" they ""celebrate"" and join tips and dance together again. ","The mother and child paper plane bounce on the walls outside the square. They're playing some game and enjoying themselves. Maybe the mother is teaching the child how to play. They keep bouncing back and forth kind of like that DVD screensaver logo, where it bounces from side to side and you want it to hit the corner but it never does. In the end they float out of the screen through the wall they were previously bouncing upon. ","The mother paper plane is doing some kind of ritual/dance that the child paper plane observes and wants to copy. So the child follows the mother without her knowing it, however, the mother can maybe feel the child's presence and turns around and the child stops copying. Almost like the child was mocking the mother. The mother turns around and continues the dance ritual, and after getting suspicious one more time and afterwards continuing the ritual, she finally turns around to see the child copying/mocking her. She gets angry and the child storms out of the screen. ","The mother and child paper plane bounces upon the walls again but this time not back and forth but more randomly, and exactly like the DVD logo I mentioned earlier. Only here there are two items/triangles/paper planes that bounce and sometimes they're pretty close to hitting each other and other times they bounce far away from each other. In the end they both float out of the screen through the walls they have been bouncing upon. ","It looks like the mother and child paper plane have had an argument and that the mother wants the child to go back to his room/the ""nest"". So she forces him there but he wants to exit again, however, she won't let him. The child starts tickling the mother, which doesn't help the situation. She just gets more angry and the child returns to looking into the corner of the ""nest"". When the mother goes to the child, presumably to talk with him about their argument, maybe to resolve it, the child somehow escapes the ""nest"" and the screen and the mother is confused, looking for him. ","The mother and child paper planes bounce upon the walls once again, but this time the square/""nest"" is in the middle and they also bounce upon this. Sometimes they're close to hitting each other but they never do. It's quite similar to the previous bouncing video as it again looks like the DVD logo screensaver mentioned earlier. "
11/16/2016 8:35:32,tomatsuppe,"The small triangle blue didn't want to get out of the square, when the large red triangle wanted to. Both triangles were thriving inside the square, and the large triangle wanted them to thrive outside as well. The large triangle forced the small triangle out of the square, and the small triangle adapted, and they both ended up thriving outside the square as well.",The triangles chased each other.,"The large red triangle was taking a walk. The little blue triangle saw this and started following, tiptoeing behind the large triangle, following closely. Everytime the large triangle would look around, it would see that the small triangle was there, but in the mean time, the small triangle would have turned away, and not appear to follow the big triangle on its walk. The large triangle turns a few time, and it happens repeatedly.","A small blue triangle and a large red triangle is floating around, seemingly without purpose, in a large square.","The large red triangle forces the small blue triangle inside the circle. The small triangle is not satisfied about it. It tries to soften up the large triangle, as it is blocking the entrance/exit to the square, by trying to get it to move. The small triangle is successful, and as soon as opportunity shows itself, it hurries out the square and out of the picture. The large triangle notices and hurries outside to look for the small triangle, but it is nowhere to be found.","A large red triangle and a small blue triangle is tumbling around in a square, not banging into each other."
11/16/2016 8:36:16,Fuck you all,The triangles were cirkeling around each other. Having a fight. the little triangle won and the big triangle was kicked out. ,"Two triangles. A big and a small one. They didn't have control over their movements, so they just floated randomly around in the box. ","The little black triangle follows the big red triangle around in the box. It does the same things as the red triangle. Maybe it think's the red triangle is pretty awesome. At one point it accidently hits the red triangle, but it just looks away when the red triangle looked back, so the red triangle didn't notice. Second time the black triangle hits the red triangle, the red triangle got mad, and the black triangle ran away.",Two triangles moves randomly around in a square,"A big red triangle captures a small black triangle in a box. The black triangle tries to push the red triangle away from the opening, but it didn't succed. Then the black triangle manage to trick the red triangle, and the red triangle moves. After that the black triangle ran away.","A small black triangle and a big red triangle moves randomly. They can't change direction by themselves, so it's only when they hit the wall, they change direction. In the middle of the space there is a box with an opening, but none of the triangles succeeds in getting inside. The triangles are about to collide several times, but that doesn't happen either. "
11/16/2016 8:36:19,rss,"In the video the two triangles were fighting, like brothers or sisters, over who could get the other one out of the square and in the end the little blue one gave up, but the big red one still wanted to fight, so it ran after it.",The two triangles were bouncing of the wall from one to another over and over again,"The little triangle were trying to hide just behind the big triangle. every time the big triangle turned around it scolded the little triangle. at some point the big triangle got tired of it, and was very mad, which made the little triangle sad","The two triangles are looking for each other, but can't seem to find the other one, even though they goes right past each other at some points","The big triangle tries to keep the little one inside the square, and it succeed until the little triangle starts to tickle the big one. then they fight for a while, but suddenly the little triangle starts to cry, and the big some comes to comfort it, but it was fake try and that way the little triangle escaped the square","Both of the triangles are looking for the entry to the square, but either of them finds it"
11/16/2016 8:36:39,TFA,"Two triangles are playing. In turn they push each other out of the box. Sometimes they turn around together, hold on to each other and spin around. ","Two triangles: a big red one, and a smaller blue one. They go from each side of the screen back and forward. The red triangle is in the bottom, and the blue on in the top. In the end of the video they both fly outside the screen/picture","First there is a red triangle ""walking"" around. Then the blue triangle appear and it starts following the red triangle. Almost like a baby following its mother. In the end the red triangle turns against the blue one, and it looks like the blue triangle is running away. ",The red and blue triangle moves around from one edge to the other edge in a random pattern. They never touch/hit each other. ,"It looks like the red triangle captures the blue triangle in the box and then the red triangle is blocking the door. The blue triangle tries to get out first by poking/running into the red triangle. Then the blue triangle moves back and forward in front of the red triangle and then it gets out of the box. Then it looks like the blue triangle takes the red one into the box. Go move around a little, and the blue disappears out of the picture. ","The red and the blue triangle moves around on the screen in a random pattern. The go one direction until they hit one of the edges, or the box in the middle, and then changes the direction. "
11/16/2016 8:37:21,sweetiepie,"The big red triangle and the small triangle start jumping a bit inside a almost full square, then they touch and move around in circle together. Afterwards the red triangle moves outside the square, back inside again and kind of pushes the small triangle outside too, where they in the end jump a bit together again, then touch and move around in circles again. ","Both of the triangles are in this video outside of the square. The small one in the top of the screen, and the big red triangle in the bottom. They both just move from side to side throughout the video. ","The video starts with the red triangle to kind of ""jump"" from one side to the other inside the square. The small triangle moves inside the square and ""jump"" follows the big triangle around. Sometimes the big triangle turnes a bit around, pointy end towards the small triangle, then it turnes back around to its normal position and ""jump"" further on. The small triangle follows the big triangle until the end, where it moves away from the big triangle across the square and outside of it. ","Both of the triangles move between all the sides of the square, randomly, and they never touch each other. ","The triangles start outside of the not completely closed square. The small triangle moves inside the square, and the big one blocks the entrance/exit of the square, so the small one can't get out again. In the end the small gets out, and moves outside of the picture.  ","The triangles move around this half-closed square in the middle, but never move inside it. They touch all the sides, when they move around it. "
